rank,name,interantional,movies,average
320,Neil Canton,542848391,4,135712098
321,Marcus Viscidi,542141361,3,180713787
322,Gary Levinsohn,537576942,5,107515388
323,Michael Shamberg,536467911,14,38319137
324,Marc Abraham,533905056,12,44492088
325,Moritz Borman,533378532,7,76196933
326,Scott Franklin,530522058,6,88420343
327,Alejandro Gonzalez Inarritu,527579566,4,131894892
328,Ang Lee,527023068,3,175674356
329,Virginie Besson-Silla,521807454,5,104361491
330,Wendy Finerman,520369322,5,104073864
331,Cale Boyter,519955623,4,129988906
332,Arnold W. Messer,519468963,5,103893793
333,Jim Morris,518419282,2,259209641
334,Teresa Cheng,517507886,1,517507886
335,Seth MacFarlane,517146237,4,129286559
336,Branko Lustig,517002542,3,172334181
337,Kori Rae,516500000,2,258250000
338,Adam Shankman,512505100,8,64063138
339,H. Galen Walker,499036302,5,99807260
340,Doug Mitchell,497326515,3,165775505
341,George Miller,497326515,4,124331629
342,David Lipman,494558583,1,494558583
343,Tom Hanks,488354057,15,32556937
344,Iain Canning,487659259,18,27092181
345,Emile Sherman,487659259,18,27092181
346,Brian Goldner,486793031,7,69541862
347,Alan Riche,486345245,6,81057541
348,Jake Kasdan,486077862,3,162025954
349,Pam Marsden,484956484,3,161652161
350,Damon Lindelof,482021917,4,120505479
351,Alex Young,480792404,4,120198101
352,Richard Sakai,480500378,7,68642911
353,Huang Jianxin,478575854,4,119643964
354,Letty Aronson,476059546,10,47605955
355,Jerry Ye,475273116,5,95054623
356,Bradley J. Fischer,474997734,9,52777526
357,Sydney Pollack,473480132,7,67640019
358,Donna Gigliotti,470850451,8,58856306
359,Duncan Kenworthy,469598018,4,117399505
360,John Rickard,468351133,8,58543892
361,Bruce Cohen,468338396,11,42576218
362,Christopher Miller,467909170,9,51989908
363,Phil Lord,467909170,8,58488646
364,Peter Farrelly,467364326,8,58420541
365,Raymond Wong,464950175,7,66421454
366,Bonnie Curtis,462153732,10,46215373
367,Leonardo DiCaprio,459633034,12,38302753
368,Scott Mednick,457076773,4,114269193
369,Lloyd Levin,456768908,8,57096114
370,Tripp Vinson,454655719,13,34973517
371,Erik Feig,453096670,10,45309667
372,Hao Ning,451176640,1,451176640
373,Cathy Konrad,449424565,9,49936063
374,Dan Farah,449272126,4,112318032
375,Arthur Sarkissian,448224449,7,64032064
376,David Valdes,448013066,8,56001633
377,Jeff Kirschenbaum,445031216,3,148343739
378,Barry Josephson,444972011,7,63567430
379,Tony Ludwig,444610742,5,88922148
380,Gail Katz,441507383,6,73584564
381,Nancy Juvonen,437909240,8,54738655
382,Nansun Shi,436880411,4,109220103
383,Brett Ratner,430945168,12,35912097
384,Kevin Reher,430937008,2,215468504
385,Brad Grey,430626743,4,107656686
386,Stephen Tenenbaum,430482001,8,53810250
387,Stuart Cornfeld,430308986,15,28687266
388,Geoff Johns,426920914,2,213460457
389,Siddharth Roy Kapur,426849772,21,20326180
390,Aditya Sood,426837780,1,426837780
391,Gary Foster,426714894,10,42671489
392,Angelina Jolie,426530050,5,85306010
393,Michael Crichton,425296526,4,106324132
394,Susanna Tsang,424692516,3,141564172
395,Grant Hill,424145276,9,47127253
396,Alfonso Cuarón,423653126,3,141217709
397,Michael Tadross,423542515,9,47060279
398,Pouya Shahbazian,422445141,9,46938349
399,Buzz Feitshans,422150155,5,84430031
400,Ben Smith,421127446,3,140375815
401,Andrew Kosove,420875258,9,46763918
402,Bill Gerber,419206838,8,52400855
403,Quji Xiaojiang,416947720,1,416947720
404,Xu Zhiyong,416947720,1,416947720
405,Huang Xiang,416947720,1,416947720
406,Jiang Defu,416947720,1,416947720
407,Chris Clark,413590518,8,51698815
408,James Jacks,412743389,4,103185847
409,Sherry Lansing,411440248,3,137146749
410,Wolfgang Petersen,410604944,3,136868315
411,James W. Skotchdopole,410174904,2,205087452
412,Eric Newman,407704329,11,37064030
413,Kevin Misher,407579070,14,29112791
414,Joe M. Aguilar,405726973,2,202863487
415,Latifa Ouaou,405726973,1,405726973
416,Jimmy Miller,405319672,13,31178436
417,Craig Perry,404433539,4,101108385
418,Jackie Chan,404289809,8,50536226
419,Belle Avery,401910550,2,200955275
420,Warren Zide,399897846,5,79979569
421,Tsui Hark,398395859,6,66399310
422,Will Gluck,396217120,8,49527140
423,Jon Turteltaub,395682711,3,131894237
424,Gerard Butler,395438601,13,30418354
425,Alan Siegel,394667301,11,35878846
426,Ben Stiller,394260800,13,30327754
427,Jane Hartwell,393912730,2,196956365
428,Stuart Fenegan,391534534,2,195767267
429,Charles Rosen,391534534,1,391534534
430,Joel Coen,391275413,8,48909427
431,Osnat Shurer,388170023,2,194085012
432,Wang Zhonglei,388124065,7,55446295
433,Lisa Stewart,387204302,2,193602151
434,David Katzenberg,387195990,2,193597995
435,Seth Grahame-Smith,387195990,2,193597995
436,Kristine Belson,385900000,1,385900000
437,Paul Feig,384016244,7,54859463
438,Michael Bostick,383323154,4,95830789
439,Tom Shadyac,383323154,4,95830789
440,Christian Colson,382656252,7,54665179
441,John McTiernan,382371262,3,127457087
442,Harvey Weinstein,379979729,6,63329955
443,Wang Changtian,376471134,4,94117784
444,Catherine Knapman,374326808,2,187163404
445,David T. Friendly,372107096,8,46513387
446,Matt O'Toole,371608512,12,30967376
447,Steven Reuther,370623297,3,123541099
448,Barry Levine,369509398,2,184754699
449,Chris Bender,367664521,17,21627325
450,Keith Redmon,366680125,3,122226708
451,Andrew Rona,362727964,16,22670498
452,Evan Goldberg,362229434,15,24148629
453,Paul Greengrass,362068980,4,90517245
454,Charlotte Huggins,361425378,3,120475126
455,Tom Engelman,359647000,2,179823500
456,Yee Chung-Man,359262825,1,359262825
457,Doris Tse,359262825,1,359262825
458,Megan Ellison,358323097,19,18859110
459,Charles Gordon,358205500,5,71641100
460,Barry Sonnenfeld,357800918,3,119266973
461,Joey McFarland,355948223,5,71189645
462,Sacha Baron Cohen,353946410,4,88486603
463,Ramsey Ann Naito,352962903,1,352962903
464,Gianni Nunnari,352290824,4,88072706
465,Paul L Sandberg,351486000,2,175743000
466,Riza Aziz,350507899,4,87626975
467,Woldgang Peterson,349853463,1,349853463
468,Diana Rathbun,349853463,1,349853463
469,Grant Heslov,349257138,12,29104762
470,Lynette Howell,348511946,18,19361775
471,Tim Headington,346617925,9,38513103
472,Matt Groening,343936008,1,343936008
473,Richard Raynis,343936008,1,343936008
474,Al Jean,343936008,1,343936008
475,Mike Scully,343936008,1,343936008
476,Mark Bomback,342712105,1,342712105
477,Mary McLaglen,342712105,1,342712105
478,Aamir Khan,342120820,5,68424164
479,Mark O Keefe,342093069,2,171046535
480,Steve Koren,342093069,2,171046535
481,Elizabeth Avellan,341780690,8,42722586
482,Gilbert Adler,340937183,4,85234296
483,John Musker,340379446,2,170189723
484,Ron Clements,340379446,2,170189723
485,Patrick McCormick,338731600,5,67746320
486,Steven Paul,338536688,4,84634172
487,Richard N. Gladstein,337249702,8,42156213
488,Pete Czernin,336478058,11,30588914
489,Graham Broadbent,336478058,11,30588914
490,Sam Mendes,335907661,3,111969220
491,Seth Rogen,334760822,13,25750832
492,Jim Carrey,334232532,3,111410844
493,Paul Wagner,334178627,1,334178627
494,Leonard Goldberg,333252903,3,111084301
495,Philippa Boyens,332437332,1,332437332
496,Jan Blenkin,332437332,1,332437332
497,Anthony Katagas,332225469,17,19542675
498,Suzanne Buirgy,332193245,2,166096623
499,Denise Nolan Cascino,331771355,2,165885678
500,Lawrence Kasdan,331000000,3,110333333
