rank,name, interantional , movies , average 
236,Jon Peters,706589761.00,10.00,70658976.00
237,John Thompson,705893111.00,14.00,50420937.00
238,Luc Besson,705879238.00,10.00,70587924.00
239,Simon Emanuel,703263784.00,2.00,351631892.00
240,James L. Brooks,702249847.00,9.00,78027761.00
241,Jeremy Kleiner,699182274.00,19.00,36799067.00
242,Brigham Taylor,697143140.00,3.00,232381047.00
243,Alex Garcia,696381366.00,11.00,63307397.00
244,Jonathan Eirich,695646283.00,5.00,139129257.00
245,Brian May,687223033.00,1.00,687223033.00
246,Jim Beach,687223033.00,1.00,687223033.00
247,Roger Taylor,687223033.00,1.00,687223033.00
248,Gary Barber,686679690.00,10.00,68667969.00
249,Zack Snyder,686135857.00,5.00,137227171.00
250,Don Carmody,680000635.00,11.00,61818240.00
251,Tim Burton,676455394.00,9.00,75161710.00
252,Gregory Goodman,675536889.00,7.00,96505270.00
253,Yu Dong,675387402.00,3.00,225129134.00
254,Gale Anne Hurd,664568168.00,9.00,73840908.00
255,Jonathan Glickman,662535461.00,8.00,82816933.00
256,Bob Ducsay,660850658.00,3.00,220283553.00
257,Jerry Weintraub,659435566.00,7.00,94205081.00
258,Bruce Davey,659247045.00,9.00,73249672.00
259,John Cohen,645587459.00,3.00,215195820.00
260,Mark Nielsen,639356805.00,1.00,639356805.00
261,Todd Garner,635582560.00,16.00,39723910.00
262,Nicole Paradis Grindle,634223615.00,1.00,634223615.00
263,Laurence Mark,633577917.00,13.00,48736763.00
264,Gregory Jacobs,630538970.00,13.00,48502998.00
265,Kristie Macosko Krieger,629650547.00,7.00,89950078.00
266,Dany Garcia,628007656.00,9.00,69778628.00
267,Robert Watts,627587508.00,5.00,125517502.00
268,Marshall Herskovitz,624070166.00,5.00,124814033.00
269,Peter Lord,622581539.00,6.00,103763590.00
270,David Sproxton,622581539.00,6.00,103763590.00
271,Philip Steuer,621182562.00,3.00,207060854.00
272,Greg Mooradian,615246382.00,4.00,153811596.00
273,Mike Medavoy,613702779.00,14.00,43835913.00
274,Grant Curtis,607617789.00,2.00,303808895.00
275,Yann Zenou,606492044.00,6.00,101082007.00
276,Laurent Zeitoun,606492044.00,6.00,101082007.00
277,Nicolas Duval Adassovksy,606492044.00,6.00,101082007.00
278,Andrew Adamson,605942519.00,4.00,151485630.00
279,Bradley Thomas,604855291.00,15.00,40323686.00
280,Brian Rogers,601199777.00,3.00,200399926.00
281,Lynda Obst,599973332.00,5.00,119994666.00
282,Baz Luhrmann,597344680.00,5.00,119468936.00
283,Lucas Foster,593802015.00,7.00,84828859.00
284,Gary Lucchesi,593039394.00,23.00,25784321.00
285,Jason Statham,590930107.00,3.00,196976702.00
286,Bill Kong,590327200.00,7.00,84332457.00
287,Ethan Coen,590021783.00,18.00,32778988.00
288,Martin Scorsese,588105913.00,8.00,73513239.00
289,Will Ferrell,583330163.00,26.00,22435776.00
290,Adam McKay,583330163.00,23.00,25362181.00
291,Jennifer Gibgot,580970379.00,10.00,58097038.00
292,Denise Ream,579388425.00,2.00,289694213.00
293,John Jacobs,577188284.00,5.00,115437657.00
294,Iain Smith,574037237.00,7.00,82005320.00
295,Gary Kurtz,572097044.00,2.00,286048522.00
296,Tim Sanders,571666235.00,1.00,571666235.00
297,Andrew Lazar,569543160.00,18.00,31641287.00
