,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
115,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273
116,[18],45317,en,The Fighter,10.395,2010-12-17,The Fighter,7.3,2325
117,"[18, 10402, 10749]",27,en,9 Songs,10.332,2004-09-09,9 Songs,4.9,170
118,"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,The Tourist,6.1,3133
119,"[18, 10749]",40080,en,The Cutting Edge: Fire & Ice,10.302999999999999,2010-03-14,The Cutting Edge: Fire & Ice,6.0,63
120,[878],830,en,Forbidden Planet,10.274000000000001,1956-03-15,Forbidden Planet,7.3,388
121,"[16, 10751, 14]",34134,en,Barbie in A Mermaid Tale,10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282
122,"[18, 28, 36]",14756,cn,葉問,10.23,2010-10-01,Ip Man,7.7,1906
123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314
124,"[35, 10749]",38303,en,You Again,10.208,2010-09-24,You Again,6.2,734
125,"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,Devil,5.9,1516
126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,The Losers,6.2,844
127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399
128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797
129,"[18, 53, 878]",43933,en,Monsters,10.175,2010-10-29,Monsters,6.2,848
130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383
131,"[16, 35, 10751, 80, 9648]",14447,en,A Matter of Loaf and Death,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219
132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509
133,"[14, 18, 10751]",40205,en,16 Wishes,10.068,2010-06-25,16 Wishes,5.9,688
134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,2010-09-15,Never Let Me Go,6.8,1294
135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324
136,[18],38167,en,Eat Pray Love,9.991,2010-08-12,Eat Pray Love,6.0,1208
137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,Sex and the City 2,5.9,809
138,"[35, 80, 18]",37495,en,Four Lions,9.968,2010-11-05,Four Lions,7.0,621
139,"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,When in Rome,5.9,703
140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,The Bounty Hunter,5.7,1627
141,[18],39013,en,Winter's Bone,9.824,2010-06-11,Winter's Bone,6.9,931
142,"[18, 10749]",52338,en,Waiting for Forever,9.818999999999999,2010-02-10,Waiting for Forever,5.7,172
143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,My Soul to Take,5.4,247
144,"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408
145,"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859
